Id	Sexo	Idade	Peso	Altura	Renda	Faltas
1	1	23	62	1.610	1	1
2	0	24	57	1.624	2	2
3	1	20	73	1.647	2	0
4	1	20	80	1.656	3	1
5	0	18	70	1.677	2	2
6	0	19	61	1.692	2	3
7	1	23	89	1.698	2	0
8	1	21	64	1.713	2	1
9	1	21	65	1.716	1	2
10	1	22	71	1.717	1	1
11	0	20	73	1.731	1	0
12	1	22	71	1.749	1	2
13	1	26	70	1.750	1	2
14	0	22	62	1.752	1	0
15	0	20	67	1.753	2	5
16	0	21	68	1.758	3	2
17	1	24	61	1.785	2	1
18	0	19	68	1.786	2	3
19	0	23	59	1.799	2	2
20	1	19	66	1.802	3	3
21	0	18	54	1.803	2	1
22	0	19	65	1.811	3	2
23	1	19	75	1.816	2	0
24	1	26	74	1.826	3	1
25	0	21	66	1.827	1	2
26	0	19	67	1.828	2	3
27	0	22	83	1.829	1	0
28	0	18	84	1.841	3	1
29	1	25	72	1.842	2	2
30	1	24	74	1.853	1	1
31	0	26	66	1.861	2	0
32	0	23	70	1.887	2	2
33	0	19	72	1.889	3	2
34	1	23	73	1.891	1	0
35	1	26	86	1.898	2	5
36	0	27	71	1.904	3	2
37	0	27	77	1.915	2	1
38	1	18	57	1.921	2	3
39	1	24	67	1.929	2	2
40	0	25	73	1.977	2	3
